1/20/2010 0:00:00 , "TX" , "HAIL" , 0.00 , 3245.00 , 9500.00
1/20/2010 0:00:00 , "TX" , "HAIL" , 0.00 , 3229.00 , 9434.00
1/20/2010 0:00:00 , "TX" , "HAIL" , 0.00 , 3216.00 , 9455.00
1/20/2010 0:00:00 , "TX" , "HAIL" , 0.00 , 3216.00 , 9458.00
1/21/2010 0:00:00 , "CA" , "HEAVY RAIN" , 0.00 , 3243.00 , 11437.00
1/21/2010 0:00:00 , "AZ" , "FLOOD" , 0.00 , 3322.00 , 11214.00
1/21/2010 0:00:00 , "CA" , "FLASH FLOOD" , 0.00 , 3407.00 , 11619.00
1/20/2010 0:00:00 , "TX" , "HAIL" , 0.00 , 3303.00 , 9544.00
1/25/2010 0:00:00 , "VA" , "FLASH FLOOD" , 0.00 , 3658.00 , 7908.00
1/21/2010 0:00:00 , "TN" , "TORNADO" , 0.00 , 3506.00 , 8541.00
1/21/2010 0:00:00 , "TN" , "THUNDERSTORM WIND" , 0.00 , 3515.00 , 8504.00
1/21/2010 0:00:00 , "TN" , "THUNDERSTORM WIND" , 0.00 , 3522.00 , 8523.00
1/21/2010 0:00:00 , "TN" , "THUNDERSTORM WIND" , 0.00 , 3534.00 , 8515.00
1/21/2010 0:00:00 , "TN" , "THUNDERSTORM WIND" , 0.00 , 3534.00 , 8512.00
1/26/2010 0:00:00 , "ME" , "FLOOD" , 0.00 , 4509.00 , 6933.00
1/19/2010 0:00:00 , "CA" , "TORNADO" , 0.00 , 3425.00 , 11952.00
1/26/2010 0:00:00 , "ME" , "FLOOD" , 0.00 , 4516.00 , 6845.00
1/20/2010 0:00:00 , "LA" , "TORNADO" , 0.00 , 3049.00 , 9203.00
1/25/2010 0:00:00 , "DE" , "FLOOD" , 0.00 , 7543.00 , 3937.00
1/25/2010 0:00:00 , "VT" , "FLOOD" , 0.00 , 4314.00 , 7239.00
1/21/2010 0:00:00 , "FL" , "TORNADO" , 0.00 , 3032.00 , 8202.00
1/25/2010 0:00:00 , "PA" , "FLOOD" , 0.00 , 4125.00 , 7845.00
1/22/2010 0:00:00 , "FL" , "THUNDERSTORM WIND" , 0.00 , 2805.00 , 8219.00
1/25/2010 0:00:00 , "FL" , "THUNDERSTORM WIND" , 0.00 , 2851.00 , 8217.00
1/25/2010 0:00:00 , "PA" , "FLOOD" , 0.00 , 3954.00 , 7726.00
1/25/2010 0:00:00 , "PA" , "FLOOD" , 0.00 , 3957.00 , 7806.00
1/25/2010 0:00:00 , "PA" , "FLOOD" , 0.00 , 4131.00 , 7648.00
1/25/2010 0:00:00 , "PA" , "FLOOD" , 0.00 , 4149.00 , 7816.00
1/20/2010 0:00:00 , "TX" , "HAIL" , 0.00 , 3332.00 , 9520.00
1/20/2010 0:00:00 , "TX" , "TORNADO" , 0.00 , 3234.00 , 9552.00
1/20/2010 0:00:00 , "TX" , "TORNADO" , 0.00 , 3303.00 , 9542.00
1/20/2010 0:00:00 , "TX" , "TORNADO" , 0.00 , 3240.00 , 9434.00
1/15/2010 0:00:00 , "TX" , "FLOOD" , 0.00 , 2742.00 , 9804.00
1/25/2010 0:00:00 , "PA" , "FLOOD" , 0.00 , 4133.00 , 7645.00
1/20/2010 0:00:00 , "TX" , "TORNADO" , 0.00 , 3205.00 , 9537.00
1/20/2010 0:00:00 , "TX" , "THUNDERSTORM WIND" , 0.00 , 3200.00 , 9545.00
1/25/2010 0:00:00 , "NY" , "FLASH FLOOD" , 0.00 , 4207.00 , 7422.00
1/24/2010 0:00:00 , "MO" , "FLOOD" , 0.00 , 3820.00 , 9254.00
1/18/2010 0:00:00 , "CA" , "FLASH FLOOD" , 0.00 , 3420.00 , 11809.00
1/21/2010 0:00:00 , "FL" , "THUNDERSTORM WIND" , 0.00 , 3002.00 , 8140.00
1/21/2010 0:00:00 , "FL" , "THUNDERSTORM WIND" , 0.00 , 2943.00 , 8152.00
1/21/2010 0:00:00 , "FL" , "THUNDERSTORM WIND" , 0.00 , 3026.00 , 8416.00
1/25/2010 0:00:00 , "NJ" , "THUNDERSTORM WIND" , 0.00 , 3931.00 , 7437.00
1/25/2010 0:00:00 , "NJ" , "THUNDERSTORM WIND" , 0.00 , 3957.00 , 7410.00
1/21/2010 0:00:00 , "FL" , "THUNDERSTORM WIND" , 0.00 , 2958.00 , 8148.00
1/21/2010 0:00:00 , "FL" , "THUNDERSTORM WIND" , 0.00 , 3000.00 , 8143.00
1/21/2010 0:00:00 , "FL" , "THUNDERSTORM WIND" , 0.00 , 3000.00 , 8143.00
1/21/2010 0:00:00 , "FL" , "THUNDERSTORM WIND" , 0.00 , 2958.00 , 8141.00
1/21/2010 0:00:00 , "FL" , "THUNDERSTORM WIND" , 0.00 , 2946.00 , 8201.00
1/21/2010 0:00:00 , "FL" , "THUNDERSTORM WIND" , 0.00 , 2955.00 , 8135.00
1/20/2010 0:00:00 , "LA" , "HAIL" , 0.00 , 3235.00 , 9353.00
1/20/2010 0:00:00 , "LA" , "HAIL" , 0.00 , 3242.00 , 9343.00
1/20/2010 0:00:00 , "LA" , "HAIL" , 0.00 , 3228.00 , 9348.00
1/20/2010 0:00:00 , "LA" , "HAIL" , 0.00 , 3240.00 , 9357.00
1/21/2010 0:00:00 , "AZ" , "THUNDERSTORM WIND" , 0.00 , 3155.00 , 11152.00
1/25/2010 0:00:00 , "NC" , "FLASH FLOOD" , 0.00 , 3458.00 , 8004.00
1/25/2010 0:00:00 , "NC" , "FLASH FLOOD" , 0.00 , 3607.00 , 7944.00
1/25/2010 0:00:00 , "NC" , "FLASH FLOOD" , 0.00 , 3521.00 , 7925.00
1/25/2010 0:00:00 , "PA" , "FLASH FLOOD" , 0.00 , 4058.00 , 7653.00
1/25/2010 0:00:00 , "PA" , "FLOOD" , 0.00 , 4109.00 , 7619.00
1/24/2010 0:00:00 , "TN" , "FLASH FLOOD" , 0.00 , 3633.00 , 8457.00
